id,ttm_ason,mcap,ev,pe,pbv,divyield,eps,book_value,roa_ttm,roe_ttm,roce_ttm,ebit_ttm,ebitda_ttm,ev_sales_ttm,ev_ebitda_ttm,net_income_margin_ttm,gross_income_margin_ttm,asset_turnover_ttm,current_ratio_ttm,debt_equity_ttm,sales_total_assets_ttm,net_debt_ebitda_ttm,ebitda_margin_ttm,total_share_holders_equity_ttm,short_term_debt_ttm,long_term_debt_ttm,shares_outstanding,eps_diluted,net_sales,net_profit,annual_dividend,cogs,peg_ratio_ttm,dividend_payout_ttm,company_id
950,202309,2.31,5.41418,0,0.9,0,0,0.4670604,-41.45283700758944,-7.6813,-3.3818,-11.469999999999999,-11.469999999999999,0,-0.4720296425457716,0,0,0,0.032,1.2713,0,-0.28509154315605933,0,2.5700000000000003,0,3.27,54942142,0,0,-11.469999999999999,0,0,0,0,1378
955,201406,2.57,NULL,4.16,5.42,0,1.7,1.3071216,2.6548672566371683,NULL,NULL,1.2800000000000002,1.3499999999999999,NULL,NULL,62.37623762376238,70.2970297029703,0.042562157606405394,1.6772,0.4072,0.042562157606405394,2.2148148148148152,133.66336633663366,14.43,2.92,2.95,3630220,1.7,0.88,0.63,0,0.77,0,0,1387
960,202212,0.83,NULL,1.48,0,0,1.76,-4.3538994,168.2926829268293,-38.9115,-748.7648,0.6900000000000001,0.7,NULL,NULL,92,93.33333333333333,1.829268292682927,0.0314,-0.948,1.829268292682927,2.414285714285714,93.33333333333333,-1.7899999999999996,0,1.7,0,1.76,0.75,0.6900000000000001,0,0.049999999999999996,0,0,1395
962,202109,15.52,103.3225,0,0.26,0,0,3.3245327,-0.3860875353636212,-1.9506,-0.7805,-1.16,-1.09,0,-94.79128440366972,0,0,0,1.9414,1.498,0,-80.55045871559632,0,59.290000000000006,88.83,0,178358000,0,0,-1.16,0,0,0,0,1415
963,201906,22.47,567.324,0,0,0,0,-4.8572982,-1.5330032004389886,18.3349,-3.8304,9.950000000000003,10.470000000000006,4.342984000612416,54.185673352435494,-10.449360790017604,-6.614100895659498,0.1467078447423774,1.809,-5.8726,0.1467078447423774,45.30723018147084,8.015004210365158,-86.63380000000001,508.7686,0,178358000,0,130.63,-13.649999999999995,0,25.9,0,NULL,1415
1050,202003,12.74,227.3502,0,0,0,0,-94.4258873,-2.298661850422789,37.1502,11.6559,23.580000000000002,23.67,14.734296824368114,9.604993662864384,-54.43940375891121,-72.26182760855475,0.042224228990504334,2.1393,-9.9481,0.042224228990504334,9.499366286438528,153.40246273493196,-22.610000000000003,0,224.95,2395000,0,15.43,-8.399999999999999,0,2.98,0,0,1608
1071,201912,1.9,13.90232,0,0,0,0,-14.6893818,-35.03440366972477,0,0,-6.64,-6.4,3.2406340326340324,-2.1722374999999996,-142.42424242424244,-139.86013986013987,0.24598623853211007,1.2393,-2.9902,0.24598623853211007,-1.875,-149.1841491841492,-4.04,12.08,0,2750000,0,4.29,-6.11,0,2.05,0,0,1657
1088,202303,19.82,19.8136,0,0,0,0,-0.3244704,-77.2,291.9054,-105.1973,-1.9300000000000002,-1.9000000000000001,0,-10.42821052631579,0,0,0,3.6918,-3.7798,0,-1.3157894736842104,0,-0.6600000000000001,2.5,0,20347000,0,0,-1.9300000000000002,0,0.04,0,0,1696
1097,202209,9.65,745.15,0,0,0,0,-12.9084,-23.40560444083522,17.3688,-1.1551,-4.329999999999991,-4.33,14.814115308151093,-172.09006928406467,-418.2902584493042,-418.2902584493042,0.055955413658460615,1.1522,-1.3095,0.055955413658460615,-364.05080831408776,-8.608349900596423,-1211.37,1425.65,160.59,7500000,0,50.3,-210.4,0,51.419999999999995,0,0,1709
1118,200909,31.55,NULL,80,0,0,0.01,-0.4305644,0,-1.7658,4.9531,-0.4299999999999997,3.42,NULL,NULL,-18.11139800811509,-3.7624492807082257,0,0.3739,0,0,NULL,12.615271117668758,NULL,NULL,NULL,394389790,0.01,24.33,-4.91,0,21.3,-1.4899211218229622,0,1740
